Item,FN,MW,FT,WW,BS
FAMAS_Styx,34684,34686,34685,34687,34683
FAMAS_Sundown,775950,775365,775893,776660,776099
FAMAS_Survivor_Z,34689,34691,34690,34692,34688
FAMAS_Teardown,34694,34696,34695,34697,34693
FAMAS_Valence,34699,34701,34700,34702,34698
FAMAS_Waters_of_Nephthys,927385,927378,927367,927392,927387
FAMAS_ZX_Spectron,871831,871626,871440,871481,871685
Five-SeveN_Angry_Mob,769147,769150,769270,769484,769418
Five-SeveN_Anodized_Gunmetal,34704,34705,Null,Null,Null
Five-SeveN_Berries_And_Cherries,835550,835733,Null,Null,Null
Five-SeveN_Boost_Protocol,871429,871435,871434,871687,Null
Five-SeveN_Buddy,773610,773695,773625,773779,773703
Five-SeveN_Candy_Apple,34706,34708,34707,Null,Null
Five-SeveN_Capillary,34710,34712,34711,34713,34709
Five-SeveN_Contractor,34720,34722,34721,34723,34719
Five-SeveN_Coolant,762065,762089,762054,762052,762114
Five-SeveN_Copper_Galaxy,34724,34726,34725,Null,Null
Five-SeveN_Crimson_Blossom,775825,776048,775941,775973,776010
Five-SeveN_Fairy_Tale,835845,835764,835605,835631,835680
Five-SeveN_Fall_Hazard,871848,871928,871904,872062,871941
Five-SeveN_Flame_Test,45383,45254,45253,45255,45252
Five-SeveN_Forest_Night,34728,34730,34729,34731,34727
Five-SeveN_Fowl_Play,34733,34735,34734,34736,34732
Five-SeveN_Hot_Shot,34738,34740,34739,34741,34737
Five-SeveN_Hybrid,956528,956495,956536,956488,956565
Five-SeveN_Hyper_Beast,34743,34745,34744,34746,34742
Five-SeveN_Jungle,34748,34750,34749,34751,34747
Five-SeveN_Kami,34752,34754,34753,Null,Null
Five-SeveN_Monkey_Business,Null,34757,34756,34758,34755
Five-SeveN_Neon_Kimono,34760,34762,34761,34763,34759
Five-SeveN_Nightshade,34765,34767,34766,34768,34764
Five-SeveN_Nitro,34770,34772,34771,34773,34769
Five-SeveN_Orange_Peel,34775,33830,34776,34777,34774
Five-SeveN_Retrobution,34779,34781,34780,34782,34778
Five-SeveN_Scrawl,886613,886631,886612,886659,886693
Five-SeveN_Scumbria,34784,34786,34785,34787,34783
Five-SeveN_Silver_Quartz,34788,34790,34789,34791,Null
Five-SeveN_Triumvirate,34793,34795,34794,34796,34792
Five-SeveN_Urban_Hazard,34797,34799,34798,Null,Null
Five-SeveN_Violent_Daimyo,33841,34802,34801,34803,34800
Five-SeveN_Withered_Vine,871160,871181,871090,871471,871453
G3SG1_Ancient_Ritual,835755,835567,835641,835724,835678
G3SG1_Arctic_Camo,34805,34807,34806,34808,34804
G3SG1_Azure_Zebra,34809,34811,34810,Null,Null
G3SG1_Black_Sand,775357,774819,774997,775272,775245
G3SG1_Chronos,34812,34814,34813,34815,Null
G3SG1_Contractor,34817,34819,34818,34820,34816
G3SG1_Demeter,34822,34824,34823,34825,34821
G3SG1_Desert_Storm,34827,34829,34828,34830,34826
G3SG1_Digital_Mesh,835592,835569,835398,835736,835396
G3SG1_Dream_Glade,886675,886628,886679,886979,886988
G3SG1_Flux,34832,34834,34833,34835,34831
G3SG1_Green_Apple,34836,34838,34837,Null,Null
G3SG1_High_Seas,759253,759255,759254,759256,759204
G3SG1_Hunter,34840,34842,34841,34843,34839
G3SG1_Jungle_Dashed,34845,34847,34846,34848,34844
G3SG1_Keeping_Tabs,871576,871370,871269,871682,871347
G3SG1_Murky,34849,34851,34850,Null,Null
G3SG1_New_Roots,871172,871466,871191,871541,871533
G3SG1_Orange_Crash,34853,34855,34854,34856,34852
G3SG1_Orange_Kimono,34858,34860,34859,34861,34857
G3SG1_Polar_Camo,34863,34865,34864,34866,34862
G3SG1_Safari_Mesh,34868,34870,34869,34871,34867
G3SG1_Scavenger,763383,763364,763331,763351,763308
G3SG1_Stinger,34873,34875,34874,34876,34872
G3SG1_The_Executioner,Null,34879,34878,34880,34877
G3SG1_VariCamo,34882,34884,34883,34885,34881
G3SG1_Ventilator,34886,34888,34887,34889,Null
G3SG1_Violet_Murano,776030,775952,775732,775888,776501
Galil_AR_Akoben,769184,769127,769172,769220,769223
Galil_AR_Amber_Fade,871408,871333,871161,871295,Null
Galil_AR_Aqua_Terrace,34891,34893,34892,34894,34890
Galil_AR_Black_Sand,34896,34898,34897,34899,34895
Galil_AR_Blue_Titanium,34900,Null,Null,Null,Null
Galil_AR_CAUTION!,871953,871902,871911,871912,871950
Galil_AR_Cerberus,34902,34904,34903,34905,34901
Galil_AR_Chatterbox,Null,Null,34907,34908,34906
Galil_AR_Chromatic_Aberration,857660,857559,857530,857632,857613
Galil_AR_Cold_Fusion,762116,762090,762117,762200,762115
Galil_AR_Connexion,781596,781612,781577,781687,781633
Galil_AR_Crimson_Tsunami,34910,34912,34911,34913,34909
Galil_AR_Destroyer,900511,900472,900479,900578,900548
Galil_AR_Dusk_Ruins,835759,835651,835676,835915,835967
Galil_AR_Eco,Null,34916,34915,34917,34914
Galil_AR_Firefight,34919,34921,34920,34922,34918
Galil_AR_Hunting_Blind,34924,34926,34925,34927,34923
Galil_AR_Kami,34929,34931,34930,34932,34928
Galil_AR_Orange_DDPAT,34934,34936,34935,34937,34933
Galil_AR_Rocket_Pop,34939,34941,34940,34942,34938
Galil_AR_Sage_Spray,34944,34946,34945,34947,34943
Galil_AR_Sandstorm,Null,34950,34949,34951,34948
Galil_AR_Shattered,34953,34955,34954,34956,34952
Galil_AR_Signal,763277,763281,763298,763295,763356
Galil_AR_Stone_Cold,34958,34960,34959,34961,34957
Galil_AR_Sugar_Rush,34963,34965,34964,34966,34962
